source_season,target_season,source_season_start_year,sofascore_season_id,team,team_slug,sofascore_team_name,sofascore_team_id,average_possession_pct,matches_recorded,source_url
1718,1819,2017,13380,AFC Bournemouth,afc-bournemouth,Bournemouth,60,48.1,38,https://www.sofascore.com/api/v1/team/60/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Arsenal,arsenal,Arsenal,42,61.9,38,https://www.sofascore.com/api/v1/team/42/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Brighton & Hove Albion,brighton-and-hove-albion,Brighton & Hove Albion,30,43.2,38,https://www.sofascore.com/api/v1/team/30/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Burnley,burnley,Burnley,6,43.7,38,https://www.sofascore.com/api/v1/team/6/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Chelsea,chelsea,Chelsea,38,55.6,38,https://www.sofascore.com/api/v1/team/38/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Crystal Palace,crystal-palace,Crystal Palace,7,45.1,38,https://www.sofascore.com/api/v1/team/7/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Everton,everton,Everton,48,45.5,38,https://www.sofascore.com/api/v1/team/48/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Huddersfield Town,huddersfield-town,Huddersfield Town,59,45.6,38,https://www.sofascore.com/api/v1/team/59/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Leicester City,leicester-city,Leicester City,31,48.0,38,https://www.sofascore.com/api/v1/team/31/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Liverpool,liverpool,Liverpool FC,44,60.7,38,https://www.sofascore.com/api/v1/team/44/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Manchester City,manchester-city,Manchester City,17,71.7,38,https://www.sofascore.com/api/v1/team/17/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Manchester United,manchester-united,Manchester United,35,54.8,38,https://www.sofascore.com/api/v1/team/35/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Newcastle United,newcastle-united,Newcastle United,39,41.7,38,https://www.sofascore.com/api/v1/team/39/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Southampton,southampton,Southampton,45,51.5,38,https://www.sofascore.com/api/v1/team/45/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Stoke City,stoke-city,Stoke City,29,41.0,38,https://www.sofascore.com/api/v1/team/29/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Swansea City,swansea-city,Swansea City,74,45.1,38,https://www.sofascore.com/api/v1/team/74/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Tottenham Hotspur,tottenham-hotspur,Tottenham Hotspur,33,62.1,38,https://www.sofascore.com/api/v1/team/33/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,Watford,watford,Watford,24,49.8,38,https://www.sofascore.com/api/v1/team/24/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,West Bromwich Albion,west-bromwich-albion,West Bromwich Albion,8,40.2,38,https://www.sofascore.com/api/v1/team/8/unique-tournament/17/season/13380/statistics/overall
1718,1819,2017,13380,West Ham United,west-ham-united,West Ham United,37,44.7,38,https://www.sofascore.com/api/v1/team/37/unique-tournament/17/season/13380/statistics/overall
